X,CH1,CH2,
Second,Volt,Volt,
-6.0000000e+01,-8.00000e-02,0.00000e+00,
-5.9799999e+01,0.00000e+00,-8.00000e-02,
-5.9600002e+01,-8.00000e-02,8.00000e-02,
-5.9400002e+01,0.00000e+00,-8.00000e-02,
-5.9200001e+01,-8.00000e-02,0.00000e+00,
-5.9000000e+01,0.00000e+00,-8.00000e-02,
-5.8799999e+01,0.00000e+00,-8.00000e-02,
-5.8600002e+01,-1.60000e-01,0.00000e+00,
-5.8400002e+01,-8.00000e-02,-8.00000e-02,
-5.8200001e+01,8.00000e-02,8.00000e-02,
-5.8000000e+01,-8.00000e-02,-8.00000e-02,
-5.7799999e+01,7.76000e+00,8.00000e-02,
-5.7600002e+01,7.84000e+00,0.00000e+00,
-5.7400002e+01,7.60000e+00,1.60000e-01,
-5.7200001e+01,7.84000e+00,8.00000e-02,
-5.7000000e+01,7.60000e+00,1.60000e-01,
-5.6799999e+01,7.76000e+00,1.60000e-01,
-5.6600002e+01,7.84000e+00,2.40000e-01,
-5.6400002e+01,7.60000e+00,1.60000e-01,
-5.6200001e+01,7.84000e+00,3.20000e-01,
-5.6000000e+01,7.84000e+00,3.20000e-01,
-5.5799999e+01,7.60000e+00,4.00000e-01,
-5.5600002e+01,7.60000e+00,4.00000e-01,
-5.5400002e+01,7.84000e+00,4.80000e-01,
-5.5200001e+01,7.60000e+00,4.00000e-01,
-5.5000000e+01,7.84000e+00,5.60000e-01,
-5.4799999e+01,7.84000e+00,4.80000e-01,
-5.4600002e+01,7.60000e+00,6.40000e-01,
-5.4400002e+01,7.60000e+00,5.60000e-01,
-5.4200001e+01,7.92000e+00,7.20000e-01,
-5.4000000e+01,7.84000e+00,7.20000e-01,
-5.3799999e+01,7.60000e+00,8.00000e-01,
-5.3600002e+01,7.60000e+00,7.20000e-01,
-5.3400002e+01,7.84000e+00,8.00000e-01,
-5.3200001e+01,7.60000e+00,8.00000e-01,
-5.3000000e+01,7.84000e+00,8.80000e-01,
-5.2799999e+01,7.84000e+00,8.00000e-01,
-5.2600002e+01,7.60000e+00,9.60000e-01,
-5.2400002e+01,7.84000e+00,8.80000e-01,
-5.2200001e+01,7.60000e+00,1.04000e+00,
-5.2000000e+01,7.84000e+00,9.60000e-01,
-5.1799999e+01,7.60000e+00,1.12000e+00,
-5.1600002e+01,7.84000e+00,1.12000e+00,
-5.1400002e+01,7.60000e+00,1.04000e+00,
-5.1200001e+01,7.60000e+00,1.12000e+00,
-5.1000000e+01,7.84000e+00,1.20000e+00,
-5.0799999e+01,7.84000e+00,1.12000e+00,
-5.0600002e+01,7.60000e+00,1.28000e+00,
-5.0400002e+01,7.84000e+00,1.36000e+00,
-5.0200001e+01,7.60000e+00,1.28000e+00,
-5.0000000e+01,7.76000e+00,1.28000e+00,
-4.9799999e+01,7.84000e+00,1.44000e+00,
-4.9600002e+01,7.60000e+00,1.44000e+00,
-4.9400002e+01,7.84000e+00,1.36000e+00,
-4.9200001e+01,7.84000e+00,1.44000e+00,
-4.9000000e+01,7.60000e+00,1.52000e+00,
-4.8799999e+01,7.84000e+00,1.44000e+00,
-4.8600002e+01,7.60000e+00,1.60000e+00,
-4.8400002e+01,7.84000e+00,1.52000e+00,
-4.8200001e+01,7.60000e+00,1.68000e+00,
-4.8000000e+01,7.60000e+00,1.76000e+00,
-4.7799999e+01,7.84000e+00,1.60000e+00,
-4.7600002e+01,7.84000e+00,1.68000e+00,
-4.7400002e+01,7.60000e+00,1.76000e+00,
-4.7200001e+01,7.84000e+00,1.76000e+00,
-4.7000000e+01,7.60000e+00,1.84000e+00,
-4.6799999e+01,7.92000e+00,1.76000e+00,
-4.6600002e+01,7.60000e+00,1.92000e+00,
-4.6400002e+01,7.84000e+00,1.84000e+00,
-4.6200001e+01,7.60000e+00,2.00000e+00,
-4.6000000e+01,7.76000e+00,1.92000e+00,
-4.5799999e+01,7.84000e+00,2.00000e+00,
-4.5600002e+01,7.84000e+00,2.00000e+00,
-4.5400002e+01,7.60000e+00,2.08000e+00,
-4.5200001e+01,7.60000e+00,2.08000e+00,
-4.5000000e+01,7.84000e+00,2.08000e+00,
-4.4799999e+01,7.84000e+00,2.08000e+00,
-4.4600002e+01,7.60000e+00,2.16000e+00,
-4.4400002e+01,7.84000e+00,2.24000e+00,
-4.4200001e+01,7.60000e+00,2.08000e+00,
-4.4000000e+01,7.84000e+00,2.24000e+00,
-4.3799999e+01,7.60000e+00,2.32000e+00,
-4.3600002e+01,7.84000e+00,2.24000e+00,
-4.3400002e+01,7.60000e+00,2.40000e+00,
-4.3200001e+01,7.76000e+00,2.32000e+00,
-4.3000000e+01,7.84000e+00,2.40000e+00,
-4.2799999e+01,7.84000e+00,2.32000e+00,
-4.2600002e+01,7.60000e+00,2.48000e+00,
-4.2400002e+01,7.60000e+00,2.40000e+00,
-4.2200001e+01,7.84000e+00,2.48000e+00,
-4.2000000e+01,7.84000e+00,2.48000e+00,
-4.1799999e+01,7.60000e+00,2.56000e+00,
-4.1600002e+01,7.84000e+00,2.56000e+00,
-4.1400002e+01,7.60000e+00,2.64000e+00,
-4.1200001e+01,7.84000e+00,2.56000e+00,
-4.1000000e+01,7.60000e+00,2.72000e+00,
-4.0799999e+01,7.84000e+00,2.72000e+00,
-4.0600002e+01,7.60000e+00,2.64000e+00,
-4.0400002e+01,7.60000e+00,2.72000e+00,
-4.0200001e+01,7.84000e+00,2.72000e+00,
-4.0000000e+01,7.84000e+00,2.72000e+00,
-3.9799999e+01,7.60000e+00,2.80000e+00,
-3.9600002e+01,7.84000e+00,2.72000e+00,
-3.9400002e+01,7.60000e+00,2.88000e+00,
-3.9200001e+01,7.60000e+00,2.80000e+00,
-3.9000000e+01,7.84000e+00,3.04000e+00,
-3.8799999e+01,7.84000e+00,2.88000e+00,
-3.8600002e+01,7.60000e+00,3.12000e+00,
-3.8400002e+01,7.84000e+00,3.04000e+00,
-3.8200001e+01,7.60000e+00,3.12000e+00,
-3.8000000e+01,7.60000e+00,3.12000e+00,
-3.7799999e+01,7.84000e+00,3.12000e+00,
-3.7600002e+01,7.60000e+00,3.12000e+00,
-3.7400002e+01,7.84000e+00,3.20000e+00,
-3.7200001e+01,7.84000e+00,3.12000e+00,
-3.7000000e+01,7.60000e+00,3.28000e+00,
-3.6799999e+01,7.84000e+00,3.20000e+00,
-3.6600002e+01,7.60000e+00,3.28000e+00,
-3.6400002e+01,7.60000e+00,3.20000e+00,
-3.6200001e+01,7.84000e+00,3.36000e+00,
-3.6000000e+01,7.84000e+00,3.28000e+00,
-3.5799999e+01,7.60000e+00,3.44000e+00,
-3.5600002e+01,7.76000e+00,3.36000e+00,
-3.5400002e+01,7.84000e+00,3.44000e+00,
-3.5200001e+01,7.84000e+00,3.44000e+00,
-3.5000000e+01,7.60000e+00,3.44000e+00,
-3.4799999e+01,7.84000e+00,3.44000e+00,
-3.4600002e+01,7.60000e+00,3.52000e+00,
-3.4400002e+01,7.60000e+00,3.44000e+00,
-3.4200001e+01,7.84000e+00,3.60000e+00,
-3.4000000e+01,7.84000e+00,3.60000e+00,
-3.3799999e+01,7.60000e+00,3.44000e+00,
-3.3600002e+01,7.84000e+00,3.52000e+00,
-3.3400002e+01,7.60000e+00,3.68000e+00,
-3.3200001e+01,7.60000e+00,3.68000e+00,
-3.3000000e+01,7.84000e+00,3.60000e+00,
-3.2799999e+01,7.60000e+00,3.68000e+00,
-3.2600002e+01,7.84000e+00,3.76000e+00,
-3.2400002e+01,7.60000e+00,3.76000e+00,
-3.2200001e+01,7.84000e+00,3.68000e+00,
-3.2000000e+01,7.84000e+00,3.76000e+00,
-3.1800001e+01,7.60000e+00,3.84000e+00,
-3.1600000e+01,7.84000e+00,3.76000e+00,
-3.1400000e+01,7.60000e+00,3.92000e+00,
-3.1200001e+01,7.84000e+00,3.84000e+00,
-3.1000000e+01,7.60000e+00,3.92000e+00,
-3.0800001e+01,7.84000e+00,3.84000e+00,
-3.0600000e+01,7.60000e+00,4.00000e+00,
-3.0400000e+01,7.84000e+00,4.00000e+00,
-3.0200001e+01,7.60000e+00,3.92000e+00,
-3.0000000e+01,7.84000e+00,4.00000e+00,
-2.9800001e+01,7.60000e+00,4.08000e+00,
-2.9600000e+01,7.84000e+00,4.08000e+00,
-2.9400000e+01,7.60000e+00,4.00000e+00,
-2.9200001e+01,7.84000e+00,4.08000e+00,
-2.9000000e+01,7.60000e+00,4.08000e+00,
-2.8800001e+01,7.60000e+00,4.08000e+00,
-2.8600000e+01,7.84000e+00,4.16000e+00,
-2.8400000e+01,7.60000e+00,4.16000e+00,
-2.8200001e+01,7.84000e+00,4.08000e+00,
-2.8000000e+01,7.84000e+00,4.16000e+00,
-2.7800001e+01,7.60000e+00,4.24000e+00,
-2.7600000e+01,7.60000e+00,4.16000e+00,
-2.7400000e+01,7.84000e+00,4.32000e+00,
-2.7200001e+01,7.84000e+00,4.32000e+00,
-2.7000000e+01,7.60000e+00,4.24000e+00,
-2.6800001e+01,7.84000e+00,4.40000e+00,
-2.6600000e+01,7.60000e+00,4.24000e+00,
-2.6400000e+01,7.84000e+00,4.32000e+00,
-2.6200001e+01,7.60000e+00,4.40000e+00,
-2.6000000e+01,7.60000e+00,4.40000e+00,
-2.5800001e+01,7.84000e+00,4.32000e+00,
-2.5600000e+01,7.84000e+00,4.40000e+00,
-2.5400000e+01,7.60000e+00,4.48000e+00,
-2.5200001e+01,7.76000e+00,4.40000e+00,
-2.5000000e+01,7.84000e+00,4.56000e+00,
-2.4800001e+01,7.84000e+00,4.40000e+00,
-2.4600000e+01,7.60000e+00,4.56000e+00,
-2.4400000e+01,7.84000e+00,4.48000e+00,
-2.4200001e+01,7.60000e+00,4.56000e+00,
-2.4000000e+01,7.84000e+00,4.48000e+00,
-2.3800001e+01,7.76000e+00,4.64000e+00,
-2.3600000e+01,7.84000e+00,4.64000e+00,
-2.3400000e+01,7.60000e+00,4.56000e+00,
-2.3200001e+01,7.84000e+00,4.64000e+00,
-2.3000000e+01,7.60000e+00,4.72000e+00,
-2.2800001e+01,7.84000e+00,4.72000e+00,
-2.2600000e+01,7.60000e+00,4.64000e+00,
-2.2400000e+01,7.84000e+00,4.72000e+00,
-2.2200001e+01,7.60000e+00,4.72000e+00,
-2.2000000e+01,7.84000e+00,4.72000e+00,
-2.1800001e+01,7.60000e+00,4.80000e+00,
-2.1600000e+01,7.84000e+00,4.72000e+00,
-2.1400000e+01,7.60000e+00,4.88000e+00,
-2.1200001e+01,7.84000e+00,4.80000e+00,
-2.1000000e+01,7.60000e+00,4.88000e+00,
-2.0800001e+01,7.60000e+00,4.80000e+00,
-2.0600000e+01,7.84000e+00,4.96000e+00,
-2.0400000e+01,7.84000e+00,4.96000e+00,
-2.0200001e+01,7.60000e+00,4.80000e+00,
-2.0000000e+01,7.84000e+00,4.88000e+00,
-1.9800001e+01,7.60000e+00,5.04000e+00,
-1.9600000e+01,7.84000e+00,4.88000e+00,
-1.9400000e+01,7.60000e+00,5.04000e+00,
-1.9200001e+01,7.84000e+00,5.04000e+00,
-1.9000000e+01,7.60000e+00,4.96000e+00,
-1.8800001e+01,7.60000e+00,5.04000e+00,
-1.8600000e+01,7.84000e+00,5.04000e+00,
-1.8400000e+01,7.84000e+00,5.04000e+00,
-1.8200001e+01,7.60000e+00,5.04000e+00,
-1.8000000e+01,7.76000e+00,5.04000e+00,
-1.7800001e+01,7.84000e+00,5.12000e+00,
-1.7600000e+01,7.60000e+00,5.04000e+00,
-1.7400000e+01,7.84000e+00,5.20000e+00,
-1.7200001e+01,7.84000e+00,5.12000e+00,
-1.7000000e+01,7.60000e+00,5.20000e+00,
-1.6800001e+01,7.60000e+00,5.12000e+00,
-1.6600000e+01,7.84000e+00,5.28000e+00,
-1.6400000e+01,7.84000e+00,5.12000e+00,
-1.6200001e+01,7.60000e+00,5.28000e+00,
-1.6000000e+01,7.60000e+00,5.20000e+00,
-1.5800000e+01,7.84000e+00,5.28000e+00,
-1.5600000e+01,7.84000e+00,5.20000e+00,
-1.5400001e+01,7.60000e+00,5.36000e+00,
-1.5200000e+01,7.84000e+00,5.28000e+00,
-1.5000000e+01,7.60000e+00,5.36000e+00,
-1.4800000e+01,7.84000e+00,5.28000e+00,
-1.4600000e+01,7.60000e+00,5.36000e+00,
-1.4400001e+01,7.84000e+00,5.36000e+00,
-1.4200000e+01,7.60000e+00,5.36000e+00,
-1.4000000e+01,7.76000e+00,5.36000e+00,
-1.3800000e+01,7.84000e+00,5.44000e+00,
-1.3600000e+01,7.60000e+00,5.36000e+00,
-1.3400001e+01,7.84000e+00,5.44000e+00,
-1.3200000e+01,7.84000e+00,5.36000e+00,
-1.3000000e+01,7.60000e+00,5.52000e+00,
-1.2800000e+01,7.84000e+00,5.44000e+00,
-1.2600000e+01,7.60000e+00,5.52000e+00,
-1.2400001e+01,7.84000e+00,5.44000e+00,
-1.2200000e+01,7.60000e+00,5.52000e+00,
