X,CH1,CH2,
Second,Volt,Volt,
-1.2000000e+00,0.00000e+00,8.00000e-02,
-1.1960001e+00,-8.00000e-02,0.00000e+00,
-1.1920000e+00,-8.00000e-02,8.00000e-02,
-1.1880001e+00,8.00000e-02,1.60000e-01,
-1.1840000e+00,0.00000e+00,0.00000e+00,
-1.1800001e+00,-1.60000e-01,1.60000e-01,
-1.1760000e+00,0.00000e+00,8.00000e-02,
-1.1720001e+00,-8.00000e-02,0.00000e+00,
-1.1680001e+00,-1.60000e-01,8.00000e-02,
-1.1640000e+00,0.00000e+00,1.60000e-01,
-1.1600001e+00,-8.00000e-02,8.00000e-02,
-1.1560000e+00,0.00000e+00,1.60000e-01,
-1.1520001e+00,-8.00000e-02,8.00000e-02,
-1.1480000e+00,0.00000e+00,1.60000e-01,
-1.1440001e+00,-8.00000e-02,8.00000e-02,
-1.1400001e+00,8.00000e-02,1.60000e-01,
-1.1360000e+00,-8.00000e-02,8.00000e-02,
-1.1320001e+00,8.00000e-02,8.00000e-02,
-1.1280000e+00,-1.60000e-01,0.00000e+00,
-1.1240001e+00,0.00000e+00,1.60000e-01,
-1.1200000e+00,-8.00000e-02,8.00000e-02,
-1.1160001e+00,8.00000e-02,1.60000e-01,
-1.1120001e+00,-8.00000e-02,8.00000e-02,
-1.1080000e+00,0.00000e+00,1.60000e-01,
-1.1040001e+00,-8.00000e-02,8.00000e-02,
-1.1000000e+00,0.00000e+00,1.60000e-01,
-1.0960001e+00,-8.00000e-02,8.00000e-02,
-1.0920000e+00,0.00000e+00,1.60000e-01,
-1.0880001e+00,-8.00000e-02,8.00000e-02,
-1.0840001e+00,0.00000e+00,1.60000e-01,
-1.0800000e+00,-8.00000e-02,8.00000e-02,
-1.0760001e+00,8.00000e-02,1.60000e-01,
-1.0720000e+00,-8.00000e-02,8.00000e-02,
-1.0680001e+00,0.00000e+00,1.60000e-01,
-1.0640000e+00,-8.00000e-02,8.00000e-02,
-1.0600001e+00,8.00000e-02,1.60000e-01,
-1.0560000e+00,-8.00000e-02,8.00000e-02,
-1.0520000e+00,8.00000e-02,1.60000e-01,
-1.0480001e+00,-8.00000e-02,1.60000e-01,
