"Time","Vd","Vd"
17.31640625,1.8296277068455,4.56156821690711
17.3671875,1.82962770684549,4.566361140245
17.41796875,1.8296277068455,4.57114888785526
17.46875,1.82962770684549,4.57593146532696
17.51953125,1.8296277068455,4.58070887824319
17.5703125,1.82962770684549,4.58548113218099
17.62109375,1.8296277068455,4.59024823271136
17.671875,1.82962770684549,4.59501018539932
17.72265625,1.8296277068455,4.59976699580386
17.7734375,1.82962770684549,4.60451866947797
17.82421875,1.8296277068455,4.60926521196863
17.875,1.82962770684549,4.61400662881688
17.92578125,1.8296277068455,4.6187429255577
17.9765625,1.82962770684549,4.62347410772016
18.02734375,1.8296277068455,4.62820018082732
18.078125,1.82962770684549,4.6329211503963
18.12890625,1.8296277068455,4.63763702193825
18.1796875,1.82962770684549,4.64234780095835
18.23046875,1.8296277068455,4.64705349295587
18.28125,1.82962770684549,4.65175410342413
18.33203125,1.8296277068455,4.65644963785052
18.3828125,1.82962770684549,4.66114010171647
18.43359375,1.8296277068455,4.66582550049755
18.484375,1.82962770684549,4.67050583966338
18.53515625,1.8296277068455,4.67518112467766
18.5859375,1.82962770684549,4.67985136099822
18.63671875,1.8296277068455,4.684516554077
18.6875,1.82962770684549,4.68917670936002
18.73828125,1.8296277068455,4.69383183228745
18.7890625,1.82962770684549,4.69848192829357
18.83984375,1.8296277068455,4.70312700280679
18.890625,1.82962770684549,4.70776706124966
18.94140625,1.8296277068455,4.71240210903889
18.9921875,1.82962770684549,4.71703215158531
19.04296875,1.8296277068455,4.72165719429395
19.09375,1.82962770684549,4.72627724256396
19.14453125,1.8296277068455,4.73089230178868
19.1953125,1.82962770684549,4.73550237735563
19.24609375,1.8296277068455,4.7401074746465
19.296875,1.82962770684549,4.74470759903717
19.34765625,1.8296277068455,4.74930275589772
19.3984375,1.82962770684549,4.75389295059245
19.44921875,1.8296277068455,4.75847818847981
19.5,1.82962770684549,4.76305847491254
19.55078125,1.8296277068455,4.76763381523754
19.6015625,1.82962770684549,4.77220421479596
19.65234375,1.8296277068455,4.77676967892317
19.703125,1.82962770684549,4.78133021294881
19.75390625,1.8296277068455,4.78588582219672
19.8046875,1.82962770684549,4.79043651198503
19.85546875,1.8296277068455,4.79498228762609
19.90625,1.82962770684549,4.79952315442655
19.95703125,1.8296277068455,4.80405911768731
20.0078125,1.82962770684549,4.80859018270354
20.05859375,1.8296277068455,4.81311635476471
20.109375,1.82962770684549,4.81763763915457
20.16015625,1.8296277068455,4.82215404115115
20.2109375,1.82962770684549,4.82666556602682
20.26171875,1.8296277068455,4.8311722190482
20.3125,1.82962770684549,4.83567400547627
20.36328125,1.8296277068455,4.84017093056631
20.4140625,1.82962770684549,4.84466299956793
20.46484375,1.8296277068455,4.84915021772505
20.515625,1.82962770684549,4.85363259027595
20.56640625,1.8296277068455,4.85811012245326
20.6171875,1.82962770684549,4.86258281948394
20.66796875,1.8296277068455,4.86705068658932
20.71875,1.82962770684549,4.87151372898508
20.76953125,1.8296277068455,4.87597195188127
20.8203125,1.82962770684549,4.88042536048232
20.87109375,1.8296277068455,4.88487395998704
20.921875,1.82962770684549,4.88931775558862
20.97265625,1.8296277068455,4.89375675247464
21.0234375,1.82962770684549,4.89819095582708
21.07421875,1.8296277068455,4.90262037082234
21.125,1.82962770684549,4.90704500263121
21.17578125,1.8296277068455,4.91146485641889
21.2265625,1.82962770684549,4.91587993734504
21.27734375,1.8296277068455,4.9202902505637
21.328125,1.82962770684549,4.92469580122338
21.37890625,1.8296277068455,4.92909659446702
21.4296875,1.82962770684549,4.933492635432
21.48046875,1.8296277068455,4.93788392925016
21.53125,1.82962770684549,4.94227048104779
21.58203125,1.8296277068455,4.94665229594565
21.6328125,1.82962770684549,4.95102937905897
21.68359375,1.8296277068455,4.95540173549746
21.734375,1.82962770684549,4.95976937036531
21.78515625,1.8296277068455,4.96413228876118
21.8359375,1.82962770684549,4.96849049577827
21.88671875,1.8296277068455,4.97284399650421
21.9375,1.82962770684549,4.97719279602121
21.98828125,1.8296277068455,4.98153689940595
22.0390625,1.82962770684549,4.98587631172962
22.08984375,1.8296277068455,4.99021103805798
22.140625,1.82962770684549,4.99454108345126
22.19140625,1.8296277068455,4.99886645296427
22.2421875,1.82962770684549,5.00318715164634
22.29296875,1.8296277068455,5.00750318454136
22.34375,1.82962770684549,5.01181455668775
22.39453125,1.8296277068455,5.01612127311854
22.4453125,1.82962770684549,5.02042333886126
22.49609375,1.8296277068455,5.02472075893806
22.546875,1.82962770684549,5.02901353836565
22.59765625,1.8296277068455,5.03330168215531
22.6484375,1.82962770684549,5.03758519531291
22.69921875,1.8296277068455,5.04186408283895
22.75,1.82962770684549,5.0461383497285
22.80078125,1.8296277068455,5.05040800097122
22.8515625,1.82962770684549,5.05467304155143
22.90234375,1.8296277068455,5.05893347644802
22.953125,1.82962770684549,5.06318931063453
23.00390625,1.8296277068455,5.06744054907913
23.0546875,1.82962770684549,5.07168719674459
23.10546875,1.8296277068455,5.07592925858838
23.15625,1.82962770684549,5.08016673956258
23.20703125,1.8296277068455,5.08439964461391
23.2578125,1.82962770684549,5.08862797868378
23.30859375,1.8296277068455,5.09285174670824
23.359375,1.82962770684549,5.09707095361804
23.41015625,1.8296277068455,5.10128560433856
23.4609375,1.82962770684549,5.1054957037899
23.51171875,1.8296277068455,5.10970125688684
23.5625,1.82962770684549,5.11390226853881
23.61328125,1.8296277068455,5.11809874365001
23.6640625,1.82962770684549,5.1222906871193
23.71484375,1.8296277068455,5.12647810384025
23.765625,1.82962770684549,5.13066099870116
23.81640625,1.8296277068455,5.13483937658504
23.8671875,1.82962770684549,5.13901324236964
23.91796875,1.8296277068455,5.14318260092743
