X,CH1,CH2,
Second,Volt,Volt,
-7.3599997e+00,7.84000e+00,4.00000e+00,
-7.3199997e+00,7.60000e+00,4.08000e+00,
-7.2799997e+00,7.84000e+00,4.08000e+00,
-7.2399998e+00,7.60000e+00,4.16000e+00,
-7.1999998e+00,7.60000e+00,4.16000e+00,
-7.1599998e+00,7.84000e+00,4.24000e+00,
-7.1199999e+00,7.60000e+00,4.24000e+00,
-7.0799999e+00,7.84000e+00,4.40000e+00,
-7.0400000e+00,7.84000e+00,4.32000e+00,
-7.0000000e+00,7.60000e+00,4.40000e+00,
-6.9600000e+00,7.60000e+00,4.40000e+00,
-6.9200001e+00,7.84000e+00,4.48000e+00,
-6.8799996e+00,7.84000e+00,4.40000e+00,
-6.8399997e+00,7.60000e+00,4.56000e+00,
-6.7999997e+00,7.60000e+00,4.64000e+00,
-6.7599998e+00,7.84000e+00,4.56000e+00,
-6.7199998e+00,7.60000e+00,4.64000e+00,
-6.6799998e+00,7.84000e+00,4.72000e+00,
-6.6399999e+00,7.84000e+00,4.72000e+00,
-6.5999999e+00,7.60000e+00,4.80000e+00,
-6.5599999e+00,7.76000e+00,4.72000e+00,
-6.5200000e+00,7.84000e+00,4.88000e+00,
-6.4800000e+00,7.76000e+00,4.80000e+00,
-6.4400001e+00,7.84000e+00,4.96000e+00,
-6.4000001e+00,7.60000e+00,4.96000e+00,
-6.3599997e+00,7.84000e+00,5.04000e+00,
-6.3199997e+00,7.84000e+00,4.96000e+00,
-6.2799997e+00,7.60000e+00,5.04000e+00,
-6.2399998e+00,7.84000e+00,5.04000e+00,
-6.1999998e+00,7.60000e+00,5.12000e+00,
-6.1599998e+00,7.84000e+00,5.04000e+00,
-6.1199999e+00,7.60000e+00,5.20000e+00,
-6.0799999e+00,7.84000e+00,5.12000e+00,
-6.0400000e+00,7.60000e+00,5.28000e+00,
-6.0000000e+00,7.60000e+00,5.20000e+00,
-5.9600000e+00,7.84000e+00,5.36000e+00,
-5.9200001e+00,7.84000e+00,5.28000e+00,
-5.8799996e+00,7.60000e+00,5.36000e+00,
-5.8399997e+00,7.60000e+00,5.36000e+00,
-5.7999997e+00,7.84000e+00,5.44000e+00,
-5.7599998e+00,7.84000e+00,5.44000e+00,
